job_id,published_date,title,description,career_page_name,type,application_deadline,is_remote_work,city,state,country,job_url,disabilities,workplace_type
#5912366,2023-11-17T14:44:26.022Z,ANALISTA FISCAL PL,"Sobre nós:A Albieri e Associados atua em colaboração com a rede Global da Andersen. No Brasil, somos mais de 300 profissionais com formação multidisciplinar financeira, contábil e tributária, atuando de forma operacional, colaborativa e estratégica com seus clientes. Somos reconhecidos, a quase uma década, como a empresa mais indicada e especializada nas áreas contábil, fiscal, financeira e de folha de pagamento.Responsabilidades e atribuiçõesResponsável pelos fechamentos de toda rotina Fiscal de empresa do segmento de serviço, comércio e Industria:Requisitos e qualificaçõesConhecimento de tributos retidos na fonte (IRRF, INSS, CSRF, ISS);Crédito de ICMS/IPIEmitir Notas Fiscais de Entrada e Saída.Conhecer sistema SAP B1 (diferencial)Ter experiencia com rotinas do BPOConhecer processos de importação DI (Diferencial)Conhecimentos em rotinas fiscais voltadas para fechamento e report;Responsabilidade perante as datas acordadas;Conhecimentos intermediários em Excel (Procv, Somase, Tabela Dinâmica e demais funções);Bom relacionamento interpessoal.Informações adicionaisBenefícios de trabalhar na Albieri e Associados:CLT com Salário fixo;Bonificação por indicação de novos colaboradores ou clientes;VTVR/VA - FLEXAssistência MédicaAssistência OdontológicaSeguro de Vida em GrupoParcerias com instituições de EnsinoAuxilio CrecheDeu Match? Candidate-se e venha fazer parte da solução, venha fazer parte de nossa equipe!",Albieri e Associados,vacancy_type_effective,2023-11-30T00:00:00.000Z,False,São Paulo,São Paulo,Brasil,https://albierieassociados.gupy.io/job/eyJqb2JJZCI6NTkxMjM2Niwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,False,hybrid
#5995252,2023-11-17T14:44:16.120Z,Analista de Departamento Pessoal Pleno,"Se você é um profissional de folha de pagamento orientado para os detalhes, com paixão pela precisão e eficiência? Tem experiência em lidar com processos de folha de pagamento de ponta a ponta e está familiarizado com a conformidade do e-Social? Se sim, temos uma oportunidade emocionante para você se juntar à nossa equipe em Alphaville, São Paulo, Brasil.👇Responsabilidades e atribuiçõesComo Analista de Departamento Pessoal, você vai:Gerenciar processos de folha de pagamento de ponta a ponta para nossa organização, garantindo o pagamento preciso e pontual aos colaboradores.Garantir conformidade com os requisitos do e-Social, mantendo-se atualizado com a legislação local e fazendo os ajustes necessários nos processos.Colaborar com a equipe de RH para coletar e validar dados relacionados à folha de pagamento, incluindo novas contratações, rescisões, méritos, promoções e benefícios dos colaboradores.Processar e reconciliar a folha de pagamento, garantindo o cálculo preciso de salários, impostos, deduções e outros componentes relevantes.Preparar e disponibilizar holerites, relatórios e documentos relacionados a impostos aos colaboradores.Atender às consultas dos colaboradores e fornecer atendimento ao cliente interno excepcional, resolvendo questões relacionadas à folha de pagamento de maneira oportuna.Manter e atualizar os registros de folha de pagamento dos colaboradores de acordo com as regulamentações de privacidade de dados.Colaborar com partes internas e externas para resolver discrepâncias na folha de pagamento e implementar ações corretivas.Manter-se atualizado com as melhores práticas do setor e tendências emergentes na gestão de folha de pagamento.Requisitos e qualificaçõesComo requisitos básicos, você deve ter: Excelente atenção aos detalhes e alto nível de precisão no processamento de dados de folha de pagamento;Mínimo de 3 anos de experiência em processamento de folha de pagamento de ponta a ponta;Proficiência avançada em sistemas de folha de pagamento&nbsp;(preferencialmente Senior e ADP);Bacharelado em Contabilidade, Finanças, Recursos Humanos ou área relacionada;Compreensão sólida da conformidade do e-Social e regulamentações no Brasil;Capacidade de trabalhar eficazmente em um ambiente com prazos rigorosos e ritmo acelerado;Alto nível de integridade e capacidade de lidar com informações confidenciais;Habilidades analíticas e de resolução de problemas sólidos;Habilidades de comunicação e interpessoais excepcionais;Conhecimento avançado em Excel;Residir em São Paulo-SP, Barueri e/ou regiões próximas;Disponibilidade para trabalhar 100% presencial.Informações adicionaisBenefícios:🦷 Convênio Odontológica Bradesco - 100% pago pela empresa;🏣 Convênio Médico Bradesco - 100% pago pela empresa;💳 Vale Refeição no cartão flexível&nbsp;Caju&nbsp;“Bandeira Visa”;🚌 Vale Transporte mensal conforme utilização;🎭 Vale Cultura.Acelere a sua carreira com a 3S! 🚀",3S Tecnologia,vacancy_type_effective,2023-12-04T00:00:00.000Z,False,Barueri,São Paulo,Brasil,https://talentos3stecnologia.gupy.io/job/eyJqb2JJZCI6NTk5NTI1Miwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,False,on-site
#6000455,2023-11-17T13:06:33.362Z,Analista de Segurança da Informação (GRC) - Híbrido,"Olá! Somos a Junto Seguros!Referência em Seguro Garantia e Fiança Locatícia no Brasil!Temos mais de 30 anos de atuação, somos a primeira seguradora, a unir tecnologia à expertise humana para propor soluções inovadoras que movem o país. Com sede em Curitiba e atuação de times multidisciplinares espalhados por todo o Brasil, formamos uma grande equipe sempre em busca das melhores soluções e do crescimento constante do nosso negócio.Os desafios nos movem e acreditamos que o desenvolvimento constante dos nossos colaboradores também é essencial para o crescimento da nossa empresa. Somos feitos de pessoas e por isso, valorizamos os aprendizados, a diversidade e a troca de conhecimento entre todos. Assim como a Junto, nossa gente é criativa, inovadora e digital! Valorizar as pessoas, suas ideias e ajudá-las a se desenvolverem é o que nos move. Aqui, nós valorizamos #Diversidade, #Eficiência #Protagonismo, #TrabalhoEmEquipe e #Garra para fazer acontecer. Trabalhamos para proporcionar um ambiente divertido, desafiador, focado em entregar, mas também em curtir o processo 💪!Somos guiados pelos nossos valores:🔐 Somos Seguros🔍 Somos Simples&nbsp;💡 Somos TransformadoresSe você se identificou com a gente: #VEMJUNTO 💜!Todas as nossas vagas são elegíveis para pessoas com deficiência!Responsabilidades e atribuiçõesParticipar e liderar projetos relacionados à segurança da informação, estabelecendo metas e acompanhando a sua execução.Elaborar e implementar programas de treinamento e conscientização para os funcionários, visando promover a cultura de segurança da informação;Desenvolver, implementar e monitorar políticas e normas de segurança da informação, garantindo sua aderência e atualização contínua;Avaliar fornecedores de soluções de segurança da informação, realizar o Due Diligence necessário;Manter a conformidade com as regulamentações e normas de segurança da informação, identificando e gerenciando riscos associados aos ativos de informação, bem como responder às demandas de compliance e fornecer documentação e evidências necessárias;Participar e contribuir na comissão de segurança;Elaborar e apresentar indicadores de desempenho (OKRs / KPIs);Gerenciar certificados digitais utilizados pela organização, garantindo sua segurança e renovação dentro do prazo;Contribuir para o desenvolvimento do plano estratégico de segurança da informação;Gestão de licenças de softwares de segurança da informação;Gestão de vulnerabilidades;Desenvolver e monitorar o orçamento do departamento de segurança da informação.Requisitos e qualificaçõesTer disponibilidade para modelo Hibrido, temos escritórios em&nbsp;Curitiba, São Paulo, Brasilia, Belo Horizonte, Salvador ou Rio de Janeiro;Habilidade de liderança, comunicação e capacidade de influenciar positivamente as pessoas;Ser flexível às mudanças e alterações nos projetos e cultura organizacional;Entendimento de metodologia Ágil (Jira/Trello);Domínio sobre deficiências de segurança da informação e cibersegurança;Atuação com plataformas de treinamentos e conscientização (Knowbe4/PhishX);Conhecimento das normas e frameworks de segurança (ISO 27000, NIST-CSF etc.);Conhecimento de vulnerabilidades comuns, reconhecimento, remediação e operação de vulnerabilidades. (OWASP TOP 10, CWE etc.);Experiência com processo de Due Diligence (SLA);Conhecimentos em tecnologias de segurança, como firewalls, antivírus, criptografia etc.;Conhecimentos em nuvem (AWS);DIFERENCIAIS:Certificações relacionadas à áreaInformações adicionais💜 Benefícios&nbsp;Junto:Vale-alimentação e refeição;Especial de Natal – dobro de VA em dezembro;Vale-transporte;Auxílio Home Office;Day off de Aniversário;Plano de saúde SulAmérica;Plano odontológico;Plano de previdência privada;PLR (Participação nos lucros e resultados);Licença paternidade estendida;Auxílio-creche ou Babá;Seguro de vida.&nbsp;📢O que mais a gente oferece :Oportunidade de trabalhar em um ambiente repleto de desafios e que valoriza a diversidade;Horário semi-flexível (40hs/semanais);Acesso a Universidade Corporativa com diversos cursos;Incentivo ao desenvolvimento da pessoa colaboradora;“Juntos com você”: programa de apoio ao colaborador que oferece orientação jurídica, financeira e/ou psicológica.Aqui você irá encontrar os seguintes Grupos de Afinidades:Inspira Junto (PCD);Negritude Junto (Diversidade Racial);Parentalidade&nbsp;consciente;Juntas (Mulheres);Primavera Junto (LGBTQIAP+);Responsabilidade Social.&nbsp;#vemjunto #juntoseguros #vemservocê",Junto Seguros,vacancy_type_effective,,False,Curitiba,Paraná,Brasil,https://juntoseguros.gupy.io/job/eyJqb2JJZCI6NjAwMDQ1NSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,True,hybrid
#5929404,2023-11-17T13:06:30.075Z,Analista de Desenvolvimento Pleno - Java e Kotlin,"Na Bemobi valorizamos o espírito inovador e colaboramos para que pessoas potencializem o seu melhor e, juntos, identificamos afinidades e oportunidades.&nbsp;Se você procura desenvolvimento, desafios e um ótimo ambiente de trabalho, está no lugar certo!Estamos buscando uma pessoa desenvolvedora que topa encarar o desafio de continuar revolucionando a forma com que as pessoas pagam suas contas! Venha fazer parte do time que faz acontecer em uma das frentes que mais crescem e vem impactando o cenário nacional e internacional.#BeABemober 💙🚀Responsabilidades e atribuiçõesDesenvolver e manter novas funcionalidades em serviços em Java/Kotlin e Golang (desejável);Construir e manter pipelines de deploy CI/CD com terraform e Bitbucket;Construir e manter aplicações com infraestrutura baseada na nuvem AWS;Transmitir e compartilhar conhecimentos de desenvolvimento de software;Ajudar na definição de novas arquiteturas voltadas ao fluxo de pagamentos;Ajudar no desenvolvimento e melhoria de observabilidade das aplicações;Atuar junto com time de Bill Payments na estrutura de sistemas Data driven.Requisitos e qualificaçõesRequisitos:Dominar a linguagem de programação Java/Kotlin;Experiência com Docker;Boa compreensão de serviços REST;Experiência com mensageria e arquiteturas de data-driven;Experiência de trabalho em ambiente de desenvolvimento ágil;Conhecer GIT;Experiência com serviços AWS;Conhecer Terraform &amp; CI/CD;Conhecimento de SQL;Experiência de desenvolvimento com micros serviços;Conhecimento de observabilidade.Diferencial:Conhecer linguagem de programação Golang e seus paradigmas;Participação em projetos de microserviços;Experiência com recursos de EC2, ECS, SQS, Route53 da AWS.Informações adicionaisRecado importante:Aqui na Bemobi não fazemos ou compactuamos com nenhum tipo de distinção por etnia, credo, gênero, orientação sexual, acessibilidade ou condição social. Temos um compromisso em ter iniciativas internas para fomentar nossa posição, valorizando a diversidade e todos os benefícios que ela oferece. Venha fazer parte do nosso time!Benefícios:VR/VA flex. (mantido durante as férias);Plano de Saúde Bradesco rede nacional (quarto particular) estendido a dependentes sem desconto por beneficiário;Plano odontológico Bradesco;VT conforme necessidade (desconto permitido por lei);Seguro de Vida IcatuSelo GPTW de melhores empresas para se trabalhar no RJ, Brasil e em TI;Day off no dia do aniversárioPolíticas de Horário flexível, Home Office e DressCode (seja você!);Acesso gratuito a todos os nossos produtos (AppsClub, Clube de Descontos, TrueCaller, BTFit e Busuu);Acesso a treinamentos internos e por meio de plataformas digitais 100% gratuitas para colaboradores como UdemyGympassPrograma de reconhecimento interno entre colaboradores ""Bemobucks""Auxílio Home Office",Bemobi,vacancy_type_effective,,True,,,Brasil,https://bemobi.gupy.io/job/eyJqb2JJZCI6NTkyOTQwNCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,False,remote
6000684,2023-11-17T13:06:25.737Z,Analista de Sistemas SR,"QUEM SOMOS?Bem-vindos a Bordo,Aqui na Log-In somos um time formado por pessoas disruptivas, engajadas e apaixonadas que gerenciam e operam as melhores soluções para a movimentação de cargas por meio da cabotagem, complementada por ponta rodoviária.&nbsp;&nbsp;Hoje somos mais de 1.000 corações que se destacam por unirem valores que inspiram a companhia. Por aqui, os valores são as diretrizes que traduzem aquilo em que acreditamos, que são: simplicidade, atitude de dono, espirito de equipe, cliente no centro, segurança e foco em resultados.&nbsp;&nbsp;Nossa cultura e o cuidado com a nossa gente nos transporta para posicionamentos ainda mais diversos, equitativos e inclusivos. O resultado de toda nossa dedicação é refletido em pesquisas de clima realizadas com nossos colaboradores. Em 2022, a Log-In conquistou, pelo segundo ano consecutivo, o selo de Great Place to Work®(GPTW). No mesmo ano, entramos no Ranking GPTW de melhores empresas para trabalhar do Espírito Santo e, em 2023, no Ranking de melhores empresas para trabalhar no Rio de Janeiro.&nbsp;Uma conquista que nos orgulha e nos incentiva a continuar fazendo de tudo para ser um lugar cada vez melhor para as pessoas.&nbsp;Nossa jornada também é marcada pela inovação, responsabilidade e pelo compromisso com o meio ambiente.&nbsp;Venha fazer parte do nosso time. Será um prazer ter você aqui com a gente!Responsabilidades e atribuiçõesA SUA ROTINA INCLUITenha um perfil proativo e tenha que facilidade de comunicação dada a necessidade constante de contato e trânsito entre as áreas da Log-In; Importante ter um perfil bastante ágil e colaborativo.Experiência significativa em Análise, Desenvolvimento e Suporte a Sistemas (Será um diferencial se esta experiência for em Sistemas Logísticos e/ou Portuários (TOS, WMS e/ou TMS); Conhecer Arquitetura de Sistemas Distribuídos; Conhecimento de Bancos de Dados SQL e Oracle (Modelagem e Linguagem SQL);Conhecer Orientação a Objeto e linguagem de programação orientada a objeto;Conhecimentos em Filas/Mensageria ActiveMQ (Integração entre Sistemas); Conhecimentos de APIs REST;Requisitos e qualificações FORMAÇÃO:&nbsp;Ensino superior completo em Tecnologia da Informação, Sistema de Informações, Engenharia de Sistemas, Ciências da Computação ou Engenharia da Computação.DESEJAVEL:-Diferencial se tiver familiaridade com Stacks modernas de desenvolvimento (docker, kubernetes, CI/CD)Informações adicionaisINFORMAÇÕES ADICIONAISO que&nbsp;a Log-In&nbsp;proporciona?&nbsp;&nbsp;Pra cuidar da sua saúde física e mental:&nbsp;🩺&nbsp;Plano de saúde&nbsp;e Plano odontológico, extensivos a seus dependentes;&nbsp;💙&nbsp;Programa Viva Bem: Com Atendimento focado na Saúde Física, Saúde Emocional e Saúde Social.🤰🏻&nbsp;Programa Amor de Mãe&nbsp;Programa de Gestantes | Amor de Mãe🏋️‍ Gympass&nbsp;(Desconto em academias).&nbsp;&nbsp;&nbsp;Pra apoiar seu dia a dia:&nbsp;🚌&nbsp;Vale transporte ou Transporte porta a porta (terminal);&nbsp;🛒&nbsp;Vale Refeição ou Alimentação.&nbsp;No Natal,&nbsp;recebemos o alimentação em dobro;&nbsp;😎 Loginers: Oportunidade de trabalhar e trocar conhecimentos diários com um time incrível e acolhedor;&nbsp;🏠 Modalidade de trabalho híbrido;&nbsp;💙 Ah! Por aqui comemoramos todas as grandes datas comemorativas&nbsp;Pra desenvolver sua carreira:&nbsp;🚀&nbsp;Construção de PDI (Plano de Desenvolvimento Individual) com sua liderança;🚀&nbsp;Cultura de feedback e desenvolvimento;&nbsp;&nbsp;🚀&nbsp;Treinamentos e acesso a Universidade Corporativa (Unilog-In);🚀&nbsp;Ciclo de Gente: Com Avaliação de Desempenho anual🚀Acompanhamentos de Metas&nbsp;Você no centro:💆‍️ Momento Terapêutico: O Momento Terapêutico une duas atividades, através de um intervalo focado em ginástica laboral e alongamentos.☕Área de vivência: Local reservado para tomar aquele cafezinho💙Squad de Diversidade: Por aqui, somos todos plurais. Temos um grupo de pessoas que fomentam temas sobre diversidade, equidade e inclusão.💙Reembolsos: Creche/Maternal, Óculos e Material Escolar💙Day Off: Folga concedida para comemoração do aniversario.tem menu de contextoJORNADA DE TRABALHO: De&nbsp;segunda a sexta, das&nbsp;9h&nbsp;às 18h.LOCAL DE TRABALHO:TVV - Vila Velha",Log-In Logística Intermodal ,vacancy_type_effective,,False,,,,https://loginlogistica.gupy.io/job/eyJqb2JJZCI6NjAwMDY4NCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,True,hybrid
5923757,2023-11-17T13:05:25.219Z,Analista de Trade Marketing Sr,"Aqui na Raízen, você une inovação e sustentabilidade para viver uma evolução constante em um dos maiores grupos empresariais privados do Brasil.Estamos buscando uma/um Analista Trade Marketing Sr para atuar em Salvador na modalidade híbrida.Como&nbsp;Analista de Trade Marketing Sr, você atuará com o processo de Integração da estratégia de marketing com a operação de vendas de GD no Campo, através de ações que aumentem a geração de leads e fortaleçam a marca para o público-alvo.Ou seja: aqui você tem muitos desafios e espaço para você ser protagonista da sua carreira e contribuir para redefinir o futuro da energia!Responsabilidades e atribuiçõesGestão do orçamento de marketing regional junto ao Gerente Regional;Análise fundamentada das oportunidades de marketing regional, seja através de patrocínios, participação de feiras e eventos, reunião de prospects e eventos de conversão de oportunidades em assinatura de contratos pelo time comercial;Operacionalização das oportunidades acima, incluindo a avaliação da efetividade dos investimentos, através de análise de dados e preparação de relatórios;Requisitos e qualificaçõesSuperior Completo;Conhecimento de Trade Marketing, marketing e publicidade: compreensão de segmentação de mercado, promoção, posicionamento, eventos, feiras e patrocínios, e comunicação no Ponto de Venda, Merchandising;Compressão de fatores que influenciam na decisão de compra do consumidor;Planejamento de campanhas;Habilidade de análise concorrencial;Utilização de ferramentas de CRM;Disponibilidade para residir em Piracicaba-SPInformações adicionaisETAPAS DO PROCESSO SELETIVO:Nosso processo contempla 3 etapas principais (podem ter outras, e você ficará por dentro caso avance):Inscrição - preenchimento deste formulário e de dados adicionais, caso necessário.Entrevista com o RH - um bate-papo para nos conhecermos.Entrevista com a liderança: bate-papo mais técnico para contar ainda mais sobre o dia a dia e os desafios.Nossa comunicação será por e-mail e telefone - confira se seus dados estão atualizados.&nbsp;CONHEÇA MAIS SOBRE O QUE É SER RAÍZENQue tal conhecer mais sobre como é fazer parte da Raízen e entender como a nossa cultura RAIZ contribui para um ambiente de trabalho em que você terá oportunidade de promover um impacto positivo no mundo?Nosso Instagram de Carreiras: @raizencarreirasNão é essa a vaga ideal? Volte para a página principal: https://carreiras.raizen.com.br/Também quer receber novidades sobre a Raízen no e-mail? https://chat.sparkrh.com/gente-raizen/news#VemSerRaízen",Raízen ,vacancy_type_effective,2023-12-31T00:00:00.000Z,False,São Paulo,São Paulo,Brasil,https://genteraizen.gupy.io/job/eyJqb2JJZCI6NTkyMzc1Nywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,False,hybrid
6000598,2023-11-17T13:04:16.624Z,Analista de Operações (Trade Marketing - MCE),"Se você é comprometido, comunicativo, disciplinado e envolvido, NÓS QUEREMOS VOCÊ EM NOSSO TIME!Buscamos talentos com experiência na área do Trade Marketing para atuar como Analista de Operações (Trade Marketing - MCE - Melhoria Continua da Execução).Reconhecemos a importância da igualdade e valorizamos a diversidade.Por isso, nossas oportunidades são para todos!&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Se você se conecta com nossos valores, venha fazer parte do nosso time!#VemSerTrade#SeuTradeMaisDiversoResponsabilidades e atribuiçõesSuporte ao gerente operacional e acompanhamento do time de auxiliares ADM de MCE (Melhoria Continua da Execução);Acompanhamento dos principais indicadores do projeto;Interlocução e suporte ao cliente e time do PDV (Ponto de Vendas);Confecção de reports de ações e implementações,Orçamentos pertinentes a ação/ projetos;Interlocução com as demais áreas da empresa.Requisitos e qualificaçõesEnsino Superior completo;Conhecimentos em Trade Marketing;Pacote office intermediário;Conhecimento nas atividades descritas na vaga.Informações adicionaisSalário a combinar + benefícios: Vale Refeição + Vale Alimentação + Vale Transporte + Assistência Médica (Sulamerica )+ Assistência Odontológica (Sulamerica) + Seguro de Vida.",POP Trade,vacancy_type_effective,,False,São Paulo,São Paulo,Brasil,https://poptrade.gupy.io/job/eyJqb2JJZCI6NjAwMDU5OCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,True,hybrid
6000580,2023-11-17T12:53:29.065Z,Analista Operacional de Redes PL/SR,"Somos a J&amp;T Express, empresa multinacional que chegou ao Brasil para revolucionar o mercado de entregas expressas.&nbsp;Nossos números:Presença em 13 países;240 centros de transferências de larga escala;1.000 equipamentos de triagem inteligente;23.000 pontos de distribuição;400.000 colaboradores;Nossos serviços atingem 2,5 bilhões de pessoas ao redor do mundo.&nbsp;E queremos mais... tá afim?Responsabilidades e atribuiçõesPRINCIPAIS ATIVIDADES/RESPONSABILIDADES:Será responsável por processos logísticos realizados nas bases e hub´s de transporte e distribuição nas regionais do Brasil, garantindo o atingimento das metas e resultados da empresa. Atividades: Análise de dados e fluxos de processos,Coordenação de processos,Treinamento Auditorias Reports e apresentações Construção de BI´s e dashboards&nbsp;Requisitos e qualificaçõesPelo menos 03 anos de experiência em análise de dados e processos logísticos, desejável 05 anos de experiência. Excel avançado, Power BI, análise de dados, fluxos logísticos, lean, kaizen, modelagem de processos, planejamento, apresentações (power point), conhecimentos ou experiência em carga expressa ou operações de transporte voltadas a distribuição (last mile), logística interna (movimentação, manipulação e triagem de mercadorias e/ou pedidos)",J&T Express Brasil,vacancy_type_effective,2024-10-31T00:00:00.000Z,False,São Paulo,São Paulo,Brasil,https://jtexpressbr.gupy.io/job/eyJqb2JJZCI6NjAwMDU4MCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,False,on-site
6000062,2023-11-17T12:50:44.042Z,Pessoa Analista de Desenvolvimento de Projetos Sr | Governança,"Venha conosco imaginar o amanhã, cuidar do hoje e simplificar o agora.Neste desafio buscamos uma Pessoa Analista de Desenvolvimento de Projetos Sr | Governança. Responsabilidades e atribuições💼 Sua missão em nosso time será:✓ Responsável pelo núcleo de Automações e Dados para a Superintendencia de Serviços ao Cliente;✓ Responsável pela criação, manutenção e integridade dos dados, Dashboards e Indicadores de Perfomance,✓ Sustentação de Automações em Phyton em produção e Elaboração de Apresentações Executivas da Superintendencia; ✓ Deve atuar como um agente de transformação junto às áreas, trazendo uma visão propositiva na criação de análises, modelos e estudos que apoiem a tomada de decisão, com foco na jornada do nosso cliente e rentabilização da cadeia de valor. Requisitos e qualificações🎓 O que é necessário pra se inscrever:✓ Capacidade analítica e execução inovadora;✓ Conhecimento em linguagem Phyton, planejamento, analise de dados, MIS, BI ou engenharia de dados, desenvolvimento de relatórios e dashboards ou pipeline de dados;✓ Muita habilidade no Power Point e criatividade para elaborar apresentações executivas de alto impacto;✓ Inglês e Espanhol avançado (desejável);✓ SAS ;✓ SAP BO (desejável);✓ Tableau;✓ Excel Avançado;✓ Linguagem SQL;✓ Power Point Avançado.Informações adicionaisBenefícios e informações adicionais: ✓ Vale Refeição/Alimentação; ✓ Assistência Médica e Odontológica; ✓ Vale Transporte; ✓ Seguro de Vida; ✓ PPR; ✓ Auxílio creche; ✓ Folga de aniversário para celebrar, tendo flexibilidade para escolher o dia; ✓ Modelo de trabalho híbrido; ✓ Gympass, acesso a milhares de academias, estúdios e aulas ao vivo com descontos nas mensalidades; ✓ Summer Get, benefícios durante o verão para cuidar da sua saúde e incentivar hábitos saudáveis; ✓ Campanhas de vacinação anuais, oferecidas de forma gratuita nas sedes ou em clínicas credenciadas; ✓ Programa de Apoio Pessoal Especializado (PAPE), apoio multidisciplinar de forma gratuita extensivo a dependentes com assistência em psicologia, serviço social, finanças, jurídica, nutrição, entre outros; ✓ Programa Acolher, que concede licença maternidade de 180 dias e paternidade de 28 dias. Em casos de adoção, o período é definido com base na idade da criança; ✓ Plataforma de Educação.&nbsp;Onde você atuará: sede SÃO PAULO.E aí? Curtiu a oportunidade? Então aplica na vaga e vamos bater um papo! #vempraget",Getnet Brasil,vacancy_type_effective,2023-12-18T00:00:00.000Z,False,São Paulo,São Paulo,Brasil,https://getnet.gupy.io/job/eyJqb2JJZCI6NjAwMDA2Miwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,True,hybrid
6000178,2023-11-17T12:49:47.096Z,Analista Tributário Sr,"Esta oportunidade é para você que se identifica com uma cultura de trabalho eficiente e transparente, se aprimora constantemente e transforma objetivos em resultados, que valoriza o respeito, a colaboração e acredita que juntos somos mais fortes.&nbsp;Como Analista Tributário, queremos que você seja nosso parceiro em contribuir para o alcance dos objetivos e metas e disseminar as competências e a cultura do Grupo Real.Responsabilidades e atribuições- Atuar SAP, focado nas atividades tributárias, garantindo a integração eficaz dos processos.- Executar análises detalhadas e aplicar como Key User no projeto conhecimentos técnicos em impostos e tributação;- Realizar análises de ICMS, identificando oportunidades de otimização e mitigação de riscos;- Realizar atividades relacionadas a regimes especiais, garantindo a conformidade legal e otimização fiscal.- Participar ativamente das atividades do departamento tributário, fornecendo suporte técnico e estratégico.- Elaborar relatórios gerenciais e análises tributárias para embasar decisões estratégicas.- Manter-se atualizado sobre as mudanças na legislação tributária, avaliando seu impacto nas operações da empresa.Requisitos e qualificaçõesGraduação completa em Ciências Contábeis;Desejável Pós ou MBA completo na área tributária;Conhecimento avançado em SAP, com ênfase em módulos tributários.Experiência comprovada na aplicação prática de J1Btax;Desejável experiência como Key User do SAP;Informações adicionaisBenefícios:Refeitório na empresa;Subsídio no convênio médico e odontológico (colaborador poderá optara pelos planos após o período de experiência);Cartão farmácia;Vale Transporte;Vale Alimentação (cesta básica);Participação nos resultados;Gympass;Seguro de vida em grupo;Folga de aniversário;Apoio Pass (Assistência Psicológica, Financeira, Jurídica e Social).",Grupo Real,vacancy_type_effective,,False,Uberlândia,Minas Gerais,Brasil,https://gruporeal.gupy.io/job/eyJqb2JJZCI6NjAwMDE3OCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,True,on-site
