job_id,published_date,title,description,career_page_name,type,application_deadline,is_remote_work,city,state,country,job_url,disabilities,workplace_type
6010052,2023-11-21T12:43:46.249Z,ANALISTA DE PROCESSOS (Foco em Sistemas da Qualidade),"Como é a área: Sistemas da Qualidade de Ferramental.Gestão Técnica de Fornecedores de Ferramental.Planejamento, Programação e Gestão de Custos de FerramentalPara atuar na área de: PPCP, PROCESSOS E GTE - OperaçõesModalidade de trabalho: 100% remoto (Unidade de referência São José dos Campos)Horário: AdministrativoResponsabilidades e atribuiçõesComo será o seu dia: O profissional a ocupar esta posição terá o desafio de interfacear com a base de fornecedores de ferramental da Embraer, bem como atuar nos processos internos da área de Ferramental no intuito de garantir que o Sistema da Qualidade aplicado a estas tecnologias seja cumprido.Requisitos e qualificaçõesPara esse desafio, você precisa ter:Superior completo (necessário ter o certificado de colação de grau ou diploma)Inglês intermediário para leitura, escritaConceitos de Lean ManufacturingExperiência com gestão e certificação de fornecedoresConhecimento em sistemas de gestão da qualidade (ISO9001)Experiência em ferramentas da qualidade (FMEA, Pareto, 8D, Ishikawa, 5W1H, etc)Experiência com processos de auditoriasExperiência em análise de dadosExperiência nas áreas de engenharia da qualidade, engenharia de manufatura, engenharia de produto ou suprimentos Você se destaca se tiver:Certificação Green ou Black Belt Lean Six SigmaConhecimentos em SAPConhecimentos em Power BIInformações adicionais•	Seguro de Vida•	Convênio Médico •	Convênio Odontológico•	Benefício Vacina•	Benefício Farmácia •	Gympass•	Cartão Multibenefícios (para modelo de trabalho Híbrido ou 100% remoto)•	Refeitório na empresa•	Auxílio Home Office (para modelo de trabalho Híbrido ou 100% remoto)•	PLR (Participação de Lucros e Resultados)•	Previdência Privada•	Cooperativa•	EMpower (plataforma interna de treinamento e desenvolvimento)",Embraer,vacancy_type_effective,,True,,,Brasil,https://embraer.gupy.io/job/eyJqb2JJZCI6NjAxMDA1Miwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,True,remote
5462357,2023-11-21T12:42:40.953Z,ANALISTA PEOPLE ANALYTICS - MTZ,"Toda vez que olhar para o céu para sonhar, nós estaremos lá. #OCéuÉAzul 💙Já pensou em fazer parte do time da Melhor Companhia Aérea do Mundo?Responsabilidades e atribuiçõesComo será seu dia a dia:• Criação, análise e sustentação de painéis e reports;• Análise de dados;• Análise de negócio;• Modelagem, Extração, Tratamento e armazenagem de dados;Requisitos e qualificaçõesO que precisa trazer na Bagagem (Pré-requisitos):• Formação Superior;• Experiência em Power Bi, Python, Estatística, Banco de dados, DW, DL, ETL/ELT, Micro serviços e Automação de processos;• Desenvolvimento e sustentação de relatórios, indicadores e Dashboards;• Análise de Indicadores;• Power BI e Pacote Office avançado;• Experiência em People Anaytics/Recursos Humanos.Será um diferencial se:• Inglês• MBA ou Pós Graduação em Ciências de Dados ou áreas correlatas;• Storytelling com dados;• Conhecimento/Experiência em estatística;• Ter experiência na construção de indicadores para gestão de pessoas e RH;• Experiência em sistemas de IA e RPA;Curtiu nosso desafio? Inscreva-seEmbarque nessa com a gente e venha decolar na sua carreira!#vemserAzul",Azul Linhas Aéreas Brasileiras,vacancy_type_effective,2023-11-30T00:00:00.000Z,False,Barueri,São Paulo,Brasil,https://voeazul.gupy.io/job/eyJqb2JJZCI6NTQ2MjM1Nywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,False,on-site
6010113,2023-11-21T12:38:26.360Z,Analista de Beneficios - Londrina (Sede Administrativa) ,"Estamos buscando um profissional que esteja atento as mudanças na gestão de pessoas, que tenha desejo em crescer e proporcionar o crescimento da empresa.Você será nosso parceiro no setor de rotinas de pessoal, realizando processos essenciais para proporcionar o melhor atendimento ao nosso colaborador.E ai, Se você já se identificou com a vaga, faça agora mesmo sua candidatura e venha fazer parte do nosso time de sucesso.Aguardamos você!Responsabilidades e atribuiçõesAdministra todo o processo de movimentação de benefícios, como convênio médico, odontológico, vale transporte e refeição, entre outros, envolvendo controle de pedidos, lançamento de dados em sistema e elaboração de normas e políticas de benefícios.Analisar as politicas de benefícios de cada região;Requisitos e qualificaçõesEnsino superior completo em gestão de recursos humanos ou áreas correlatas;Experiência no cargo será um diferencial;Cumprir os procedimentos operacionais exigidos do cargo;Conhecimento pacote Office (Excel, Word, Power Point e demais programas);Perfil comunicativo e organizado;Saber lidar com diferentes pessoas de maneira cordial;Informações adicionaisAlimentação no local;Descontos em empresas parceiras;Cartão convênio;Treinamentos e formações pela nossa Universidade corporativa - UniffatoCarreira",Grupo Muffato,vacancy_type_effective,,False,Londrina,Paraná,Brasil,https://grupomuffatovagas.gupy.io/job/eyJqb2JJZCI6NjAxMDExMywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,True,on-site
6010001,2023-11-21T12:38:01.884Z,Analista de Testes Pleno/ Senior (3253)  ,"Hello! Que tal trabalhar em uma empresa que empodera o profissional para que atue como “dono do negócio”, investe no desenvolvimento contínuo e oferece oportunidades de crescimento pessoal e profissional?Na Nova Unidas é assim, cada colaborador é dono de sua carreira e a leva para onde quiser, e o cliente é o centro das nossas decisões. Temos uma visão focada nos resultados e agimos com respeito à sociedade e às pessoas. 🤩 Nosso time é incansável na busca das melhores alternativas para os seguimentos que atuamos. Se você busca um ambiente descontraído, simples e ágil, essa vaga é para você. Confira os requisitos👇🏽Responsabilidades e atribuiçõesDesenvolver e executar testes;Depurar e definir ações corretivas;Acompanhar e garantir métricas de qualidade;Identificar e resolver problemas de funcionamento do sistema, a fim de atender aos padrões de qualidade.Requisitos e qualificaçõesExperiência com APP; Compreensão do ciclo de vida do desenvolvimento de software; Conhecimento dos tipos, metodologias e técnicas de teste de software; Conhecimento das principais ferramentas de rastreamento de bugs e gerenciamento de testes; Familiaridade com linguagem de programação e boas práticas de automação; Familiaridade com testes e tecnologias Mobile (iOS e Android); Conhecimentos de HTTP; Boa escrita para documentação, registro de teste e abertura de bugs; Mínimo 02 anos de experiência.Desejável Criar testes automatizados; Familiaridade com metodologias ágeis; Conhecimentos SQL; HttpToolkit; Postman.Informações adicionaisModelo de contratação:PJ.Forma de atuação:100% remoto.",Keep Simple,vacancy_legal_entity,,True,,,Brasil,https://keepsimple.gupy.io/job/eyJqb2JJZCI6NjAxMDAwMSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,False,remote
6010026,2023-11-21T12:36:16.878Z,Analista lll - Inteligência de Venda Direta. Afirmativa para Talentos Negros (Pretos e pardos),"Quer trabalhar na marca de beleza preferida dos brasileiros?Em O Boticário, todos os produtos desenvolvidos e todas as histórias contadas tocam o coração e a pele das pessoas.É assim que a marca transforma momentos simples em momentos mágicos há mais de 40 anos.Se você, assim como a marca, acredita que onde tem amor tem beleza, quer transformar esse segmento com autonomia, empreendedorismo e em um ambiente com espaço para inovar, esse é o lugar certo para você!Responsabilidades e atribuiçõesGerenciar a carteira de franqueados, atendendo-os de forma mais estratégica, adotando papel de apoio e direcionamento;Colaborar na criação de estratégias comerciais alinhadas com as metas e objetivos do grupo, bem como garantir que as franquias estejam seguindo o direcional, com mesmo nível de clareza de comunicação;Analisar metas e resultados a fim de trazer diagnósticos baseados na necessidade do franqueado, estudo da região, público, etc.;.. Organizar e calibrar o plano de trabalho de acordo com necessidade do franqueado e do negócio;Ser responsável pela entrega do serviço de ativação de base com excelência, bem como dar visibilidade aos franqueados dos resultados, metas, ciclos e KPIs de negócios - conversão de vendas, Ticket Médio, etc;Realizar correções/ajustes entre Operação e Franqueado;. Garantir a expansão do serviço na área atendida.Requisitos e qualificaçõesFormação superior completa;. Experiência comercial (atendimento de contas de clientes);.Habilidades de comunicação, apresentação, negociação, influência e gerenciamento de relacionamento;Organização para atender diferentes demandas ao longo do dia com boa capacidade de priorização;Habilidades em: Excel / Google Sheets e Power Point. Presentations / Vizzlo / Think Cell e demais ferramentas de análise e construção de materiais - Diferencial;Forte capacidade analítica e de resolução de problemas;Organização e estruturação.Informações adicionaisO Grupo Boticário promove a diversidade e queremos conosco pessoas que mudem o jogo e façam bonito, independente do gênero, raça, orientação sexual, religião, nacionalidade, idade ou deficiência.Nos preocupamos com o bem-estar das nossas pessoas, por isso oferecemos um pacote de benefícios que permitem uma vida mais saudável e completa.Nossa jornada de trabalho tem carga horária flexível e sustentável. Vai trabalhar em modelo híbrido ou remoto? Oferecemos o auxílio home-office.Todo mundo merece um momento para cuidar da alimentação, certo? Aqui você poderá contar com o vale refeição e/ou vale alimentação (conforme elegibilidade), mas se você for trabalhar em uma das nossas fábricas ou centros de distribuição temos restaurante;Tá, mas e a sua saúde? Para nós a sua saúde é prioridade, aqui oferecemos plano de saúde e programas com foco em saúde e bem estar:Central de Saúde 24hA Família CresceuAtendimento Social2ª Opinião MédicaTelemedicina - dentro do plano de saúdePsicologia on-lineOrientação JurídicaOrientação FinanceiraOrientação PsicológicaEntre nós - apoio a vítimas de violênciaRodas de Conversa com foco físico e emocionalCuidado com o colaborador durante o afastamentoCampanhas de prevenção em saúdeVacinação gratuita contra gripe para colaboradores e dependentesExames periódicosAvaliação ergonômicaTambém nos preocupamos com a sua segurança financeira e de sua família, garantindo cobertura de previdência privada, empréstimos com taxas diferenciadas e seguro de vida.Sabe a vida fitness? Deixa com o Gympass;E as crianças? Disponibilizamos o Auxílio para o Material Escolar;Falando em crianças, aqui no Grupo Boticário, acreditamos que todos possuem o direito a uma licença parental igualitária. Por isso oferecemos 120 dias de Licença Parental para papais e mamães;Todo mundo faz aniversário e, já que você está de parabéns, oferecemos o Day Off de Aniversário.Desconto de até 40% em nossos produtos! Agora sim viu vantagem, né? Além de convênios e parcerias diversas através da Associação de Colaboradores.Tá afim de fazer o bem? Aqui no GB proporcionamos oportunidades de participar em várias ações de voluntariado.Se identifica com o nosso jeito? Então vem fazer beleza com a gente!",Grupo Boticário,vacancy_type_effective,2023-11-24T00:00:00.000Z,True,,,Brasil,https://grupoboticario.gupy.io/job/eyJqb2JJZCI6NjAxMDAyNiwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,False,remote
6009929,2023-11-21T12:35:29.434Z,ANALISTA DE ATENDIMENTO AO CLIENTE E PROJETOS JR - JOI,"TAREFAS: 1. APOIOAR NA DEFINIÇÃO DE PLANTAS COM CLIENTES E GR(QUANDO NÃO VENDIDO); 2. EFETUAR MODIFICAÇÕES/ORÇAMENTOS/ADITIVOS CONTRATUAIS QUANDO SOLICITADO; 3. AGENDAR E LIBERAR VISITAS ÀS OBRAS;4. RESPONDER DÚVIDAS E QUESTIONAMENTOS EM GERAL DOS CLIENTES,QUER SEJA POR E-MAIL, TELEFONE OU PRESENCIALMENTE; 5. ACOMPAHAR E CONFERIR MODIFICAÇÕES SOLICITADAS DURANTE A EXECUÇÃO DA OBRA; 6. PREPARAR E ENVIAR QUESTIONÁRIO SOBRE O EMPREENDIMENTO AO ER PARA PREENCHER OS MANUAIS (PROPRIETÁRIO E DO CONDOMÍNIO); 7. ENTREGAR UNIDADES/APARTAMENTOS AOS CLIENTES; 8. AJUDAR NA ELABORAÇÃO DO MANUAL DO PROPRIETÁRIO E DO CONDOMÍNIO; 9. MONTAR KITS DE ENTREGAS(PRESENTE- MANUAL DO PROPRIETÁRIO/FORNECEDORES/TAMPAS CUBAS/CONTROLES/CHAVES/TERMOS DE ENTREGA,ETC); 10. ENVIAR CARTAS AOS CLIENTES: BOAS-VINDAS E MODIFICAÇÕES, ENCERRAMENTO VISITAS, PESQUISA PÓS OCUPAÇÃO (1 ANO) E DEMAIS PESQUISAS; 11. AUXILIAR NA PREPARARÇÃO DA PESQUISA DE PÓS OCUPAÇÃO; 12. AUXILIAR NA MONTAGEM E PAGAMENTO DOS ITENS QUE COMPÕE O APARTAMENTO DECORADO E ÁREAS COMUNS; 13. ACOMPANHAR REUNIÕES DE COMPATIBILIZAÇÃO DE PROJETOS; 14. ACOMPANHAR CRONOGRAMA DE EXECUÇÃO DAS OBRAS; 15. ACOMPANHAR CRONOGRAMA DE DECORAÇÃO DAS ÁREAS COMUNS E DO DECORADO. 16. DESATIVAR O DECORADO BUSCANDO VENDER O MÁXIMO POSSÍVEL DE MÓVEIS E OBJETOS DE DECORAÇÃO; 17. AUXILIAR NA ESPECIFICAÇÃO DE MATERIAIS PARA NOVOS EMPREENDIMENTOS DE ACORDO COM O CADERNO DO ESPECIFICADOR; 18. ALTERAR/DIVULGAR E POSTAR NO SHAREPOINT AS ALTERAÇÕES DAS PLANILHAS DE ESPECIFICAÇÃO DE ACABAMENTOS E CHECK LIST;19. ACOMPANHAR, FISCALIZAR E AVALIAR A EQUIPE DE LIMPEZA DOS APARTAMENTOS A SEREM ENTREGUES AOS CLIENTES (EMPRESA TERCEIRIZADA); 20. DEFINIR LAYOUT E ACOMPANHAR ORÇAMENTO DO PLAYGROUND PARA AS OBRAS A SEREM ENTREGUES; 21. DEFINIR LAYOUT E ACOMPANHAR ORÇAMENTOS DOS EQUIPAMENTOS DA ACADEMIA PARA AS OBRAS A SEREM ENTREGUES; 22. DEFINIR E ACOMPANHAR ORÇAMENTOS DAS LOUÇAS DO TÉRREO DAS OBRAS A SEREM ENTREGUES; 23. DEFINIR E ACOMPANHAR ORÇAMENTOS DAS LIXEIRAS DE COLETA SELETIVA DAS OBRAS A SEREM ENTREGUES. 24. CONFERIR NO FOLDER AS IMAGENS DOS MATERIAIS ESPECIFICADOS E AS OPÇÕES DE PLANTAS DOS EMPREENDIMENTOS A SEREM LANÇADOS; 25. AUXILIAR NA ELABORAÇÃO DO MATERIAL DE TREINAMENTO DO NOVO PRODUTO A SER LANÇADO PARA O DEPARTAMENTO DE VENDAS (MATERIAL ESPECIFICADO, DIFERENCIAIS, PONTOS DE SPLIT, PARTICULARIDADES, ETC); 26. AUXILIAR EQUIPE DE VENDAS NO ATENDIMENTO QUANDO ALGUM PROSPECT SOLICITAR INFORMAÇÕES TÉCNICAS SOBRE O IMÓVEL;27. VALIDAÇÃO DE PROJETOS PRÉ-EXECUTIVOS COMPLEMENTARES(ELÉTRICA, HIDRÁULICO...) 28. CONTRATAÇÃO E DEFINIÇÃO DE ESCOPO DE INTERIORES, PAISAGISMO, LUMINOTÉCNICO E SINALÉTICA29. REALIZAR CONTROLE E REQUISIÇÃO E ORDENS DE COMPRA DE INTERIORES E COMPLEMENTARES DO DECORADO E TÉRREO DOS NOVOS EMPREENDIMENTOS.Responsabilidades e atribuiçõesAcompanhar o Atendimento Ao Cliente, Checando itens de garantia, organizando As Agendas e Alocando mão de obras e materiais quando necessário, também estruturar feedback de manutenção para A área de engenharia periodicamente.",Plaenge,vacancy_type_effective,,False,Joinville,Santa Catarina,Brasil,https://grupoplaenge.gupy.io/job/eyJqb2JJZCI6NjAwOTkyOSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,True,on-site
6001777,2023-11-21T12:34:46.898Z,Pessoa Analista Desenvolvedor Siebel Sênior,"A Minsait é uma companhia global de tecnologia com mais de 23 anos de atuação no Brasil, focada em inovação e líder em A Minsait, uma empresa do grupo Indra Company. É a maior empresa espanhola de Transformação Digital, presente em mais de 100 países e há quase 30 anos no Brasil. Combinamos nossa experiência em cloud, segurança, payments e phygital com a tecnologia mais inovadora para impulsionar nossos negócios, gerando um impacto positivo na sociedade.Somos aproximadamente 50k Minsaiters no Mundo e mais de 9k Minsaiters no Brasil e estamos presentes nas maiores empresas em todos os setores. Nossa estrutura permite participar de projetos globais e proporciona um ambiente colaborativo que nos certifica em GreatPlacesToWork e planos diferenciados para Jovens Profisionais também reconhecidos pela Employers for Youth.Nosso objetivo é liderar uma revolução tecnológica mais sustentável. Venha ser um Minsaiter!Responsabilidades e atribuiçõesIrá dar suporte a ferramenta e desenvolvimento de novos projetos e evolutivos.Reutilização de configuração Tools Siebel 7.8.Realização de  Especificação Funcional;Configuração Assignment;Desenvolvimento em Packpage/ PL/SQL;Configuração de Relatórios, Usuários e Conta;Parametrização de listas de valores.Requisitos e qualificaçõesSuperior completo ou cursando na área de tecnologia ou afins; Conhecimento em construção/manutenção de Businness Component, Businness Service, Screen, Views, Applet’s, Data Validation, Workflow.Informações adicionaisModelo de contratação CLT;Plano de Saúde subsidiado pela empresa para o titular;Opção de inclusão de dependentes no Plano de Saúde com desconto em folha com desconto em folha de pagamento;Assistência Odontológica (opcional);Opção de inclusão de dependentes no Plano de Assistência Odontológica com desconto em folha de pagamento;Vale Refeição OU Alimentação;Vale Transporte (opcional);Gympass (Acesso a mais de 700 academias em todo o Brasil com planos a partir de R$ 29,90 descontado em folha de pagamento);Opção de inclusão de dependentes no Gympass (até 03 dependentes - pago via cartão de crédito);Parcerias com grandes marcas de consumo;Convênios para descontos com instituições de ensino (graduação e pós-graduação) e escola de idiomas;Seguro de vida em grupo.",Minsait an Indra Company,vacancy_type_effective,,True,,,Brasil,https://minsait.gupy.io/job/eyJqb2JJZCI6NjAwMTc3Nywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,True,remote
5997883,2023-11-21T12:30:54.499Z,Analista de FP&A Senior - Superlógica ,"É graças às funções corporativas que conseguimos continuar inovando todos os dias. Nesse setor, concentra-se o essencial para manter a ordem e funcionamento da empresa, garantindo que sempre tenhamos boas condições de trabalho, eventos sensacionais e as contas em dia. Os profissionais dessa área devem trabalhar bem em equipe, estar dispostos a aprender, mudar e propor coisas novas.Buscamos uma pessoa organizada e que goste de analisar dados, seja atenciosa e crítica, pois irá trabalhar diretamente com muitos números. Tenha experiência com gestão financeira e suas variáveis. Além de possuir conhecimento na área, ela deverá ter skills de comunicação e relacionamento, afinal o seu dia a dia será lidando com fornecedores e pessoas de outros times.Essa pessoa virá para estruturar e implementar a área de FP&amp;A e precisa ser especialista em Excel para garantir o que lhe foi confiado.Se sente preparado para essa responsabilidade? Vem fazer parte do nosso time!Responsabilidades e atribuiçõesMontar relatórios e dashoboards em Excel;Elaborar diagnósticos com base em informações financeiras e operacionais;Construir apresentações para a gestão e Conselho de Administração;Auxiliar o time nos processos de Orçamento e Forecast;Atuar como guardião das informações financeiras da empresa;Ajudar à Contabilidade e Controladoria no processo de gestão de centros de custo;Propor melhorias na gestão das informações e publicação de resultados.Requisitos e qualificaçõesFormação em Engenharia, Administração, Economia e afins;Experiência com consolidação e análise de resultados;Conhecimentos avançados de Finanças Corporativas e Modelagem Financeira;Conhecimentos sólidos de Contabilidade;Manipulação de bases de dados;Conhecimentos avançados em Excel;Conhecimentos avançados em Power Point;Perfil mão na massa, proativo, revolvedor de problemas e com bom raciocínio lógico.﻿Informações adicionaisFazendo parte do time, você terá “SuperBenefícios” como:Flexibilidade de horário  Podemos sempre nos adaptar às mudanças do dia a dia, o importante mesmo é sempre alcançar o objetivo.Ajuda de custo Home Office:A gente dá o suporte necessário para que você possa trabalhar no conforto do seu lar.Flash Benefícios Flexíveis (VA + VR):Transformar o mundo dá uma fome, né?! E é claro que o nosso recheado VA e VR não podem ficar de fora dessa missão.Plano de saúde e odontológico:A saúde sempre em primeiro lugar, para você e seus dependentes.Apoio aos pais: Se tornar mãe ou pai é algo espetacular, e queremos participar deste grande momento com você. Por isso, além do auxílio creche, temos também licença-parental (maternidade e paternidade) estendida.Saúde e Bem-estar:Parceria com o Gympass e auxílio farmácia.Treinamentos e educaçãoTemos parcerias com escolas e universidades e oferecemos treinamentos EaD gratuitos.Ambiente que valoriza feedbacks 1:1.",Superlógica Tecnologias ,vacancy_type_effective,,True,,,Brasil,https://superlogica.gupy.io/job/eyJqb2JJZCI6NTk5Nzg4Mywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,True,remote
6010051,2023-11-21T12:30:40.314Z,Analista de Proyectos,"En Cervepar buscamos personas que quieran soñar en grande, aportar, liderar y crecer.¡Si te gustan los desafíos, te apasiona el mundo de logistica, te encantan nuestras marcas y sos una persona proactiva y con un buen manejo organizativo y analitico, esta puede ser tu oportunidad!Responsabilidades y atribucionesBrindar soporte en la implementación de proyectos de tecnología a las operaciones de los CD, Planta, T1, PlanningRecolectar datos y documentaciones necesarias para las implementacionesGestion de presupuestos y proyecciones para nuevas implementaciones de proyectos de tecnologiaGestion de Carritos de compras de herramientas o pagos de implementaciones asociadas a proyectosSeguimiento a costos asociados a las implemetaciones de proyectos de tecnologíaGenerar visibilidad de las implementaciones a traves de las distintas herramientas de comunicación de la compañía y externasDesarrollar el pensamientos disruptivo para encontrar oportunidades de tecnologias o proyectos locales a implementarRequisitos y calificacionesFormación Universitaria (Lic. En Administración de Empresas o Ing. Industrial y/o afines)Conocimientos de variables logísticas, comerciales y contablesManejo del Sistemas: BI, Truck y SAPManejo de Programas: Power BI, Excel Avanzado, PowerPoint avanzado, WordIngles IntermedioPortugués Básico",CERVEPAR,vacancy_type_temporary,,False,Asunción,,Paraguai,https://cervepar.gupy.io/job/eyJqb2JJZCI6NjAxMDA1MSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,True,on-site
6008489,2023-11-21T12:28:17.923Z,Analista de Compras Internacionais,"Responsável pelo processo End-to-End das compras associadas ao seu perfil;Executar os processos associados à obtenção de mercadorias, equipamentos e serviços parauso na organização, realizar pesquisas de mercado para identificar tendênciasde preços e novos fornecedores.Suporte as carteiras de CAPEX e OPEX;Subir pedidos de compras no ERP;Negociar e qualificar fornecedores, visando as melhores condições de preços, qualidade,prazos de pagamento e entrega;Interface com área administrativa, logística e demais áreas;Monitorar as grandes tendências no mercado de fornecimento e implantar planos de açãoatravés de ferramentas cost drivers, consultorias e benchmarkings;Responsabilidades e atribuiçõesDesenvolver estratégias de negócios, simplificando processos e sistemas de forma a maximizar a eficiência em termos de qualidade, prazo e custo, através das melhores práticas de sourcing;Desenvolver novos fornecedores buscando oportunidades de soluções logísticas que agreguem uma excelência de valor para a companhia;Buscar simplificação e maximização da eficiência, através de uma visão externa norteadapor novas tendências de sourcing, e utilizando inteligência de mercado;Desenvolver e gerir contratos e acordos de fornecimento atendendo os prazos, custos e asexigências legais e políticas internas alinhados com a estratégia desimplificação de negócio;Realizar follow-up, dos pedidos das compras efetuadas (dentro x fora do prazo), assimcomo elaborar previsões de necessidades de compras, avaliação de riscos edefinição de estratégias de resposta;Elaboração de análises gerenciais para redução de custo e otimização dos processos através da implementação e controle de indicadores de desempenho (KPI´s);Participar ativamente da elaboração do budget, ciclagem do estoque, forecast do comerciale diretrizes do corporativo.Requisitos e qualificaçõesImprescindívelSuperior completo em Comércio Exterior, Administração ou áreas afinsConhecimento e experiência com técnicas de negociação, tais como: Cost Break Down, TCO -Total Cost of Ownership e Strategic sourcingExperiência comprovada como comprador de equipamentos vindos da China e/ou Coreia;Domínio do InglêsConhecimento nos sistemas: Mega Sênior e/ou OracleInformações adicionaisVale transporte;Estacionamento gratuito;Vale Refeição;Plano de saúde;Day Off para comemorar com sua família e amigos no mês do seu aniversário;Temos convênios com instituições de ensino.",UNIVET ,vacancy_type_effective,,False,Curitiba,Paraná,Brasil,https://univen-vet.gupy.io/job/eyJqb2JJZCI6NjAwODQ4OSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,True,hybrid
