Data,Hora,Vaga,Nome da Empresa,Tipo de Trabalho,URL,Cidade,Estado
22/11/2023,12:40,Data Specialist,Gringo,Remoto,https://gringo.gupy.io/job/eyJqb2JJZCI6NjAyMjcxNywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,...,...
22/11/2023,12:30,Analista de Crédito,Gees S/A,Presencial,https://geessa.gupy.io/job/eyJqb2JJZCI6NjAxNDU3Miwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Balsas,Maranhão
22/11/2023,12:30,ANALISTA DE REDES N1,Alloha Fibra,Presencial,https://allohafibra.gupy.io/job/eyJqb2JJZCI6NTkzOTM3NSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Fortaleza,Ceará
22/11/2023,12:25,Analista de FP&A Júnior,Indigo,Presencial,https://jobsindigo.gupy.io/job/eyJqb2JJZCI6NjAxNTg5Niwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,São Paulo,São Paulo
22/11/2023,12:22,14212-Analista Field Service,GLOBAL HITSS,Presencial,https://globalhitss.gupy.io/job/eyJqb2JJZCI6NTk5Nzc1OSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,João Pessoa,Paraíba
22/11/2023,12:50,Analista de Logística ,SERHUM RH,Presencial,https://serhum.gupy.io/job/eyJqb2JJZCI6NjAyMjY1Miwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,São Luís,Maranhão
22/11/2023,12:49,Analista de Frota,BYD Brasil,Presencial,https://bydbrasil.gupy.io/job/eyJqb2JJZCI6NjAwNzE3MCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Camaçari,Bahia
22/11/2023,12:46,Analista Ambiental,BYD Brasil,Presencial,https://bydbrasil.gupy.io/job/eyJqb2JJZCI6NjAwODE3MCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Camaçari,Bahia
22/11/2023,12:41,Analista Administrativo - Financeiro,Grupo Koch,Presencial,https://grupokoch.gupy.io/job/eyJqb2JJZCI6NjAyMjczMCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Itapema,Santa Catarina
22/11/2023,12:36,Analista Infraestrutura TI,BYD Brasil,Presencial,https://bydbrasil.gupy.io/job/eyJqb2JJZCI6NjAwNzc3NSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Camaçari,Bahia
22/11/2023,12:50,Analista de Registro e Legalização,Lojas Renner,Híbrido,https://renner.gupy.io/job/eyJqb2JJZCI6NjAyMjgwMSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Porto Alegre,Rio Grande do Sul
22/11/2023,12:42,Analista de Trade Marketing Jr,Vem pra S.I.N.!,Híbrido,https://vemprasin.gupy.io/job/eyJqb2JJZCI6NTkyNzIyOCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,São Paulo,São Paulo
21/11/2023,12:43,ANALISTA DE PROCESSOS (Foco em Sistemas da Qualidade),Embraer,Remoto,https://embraer.gupy.io/job/eyJqb2JJZCI6NjAxMDA1Miwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,...,...
21/11/2023,12:36,Analista lll - Inteligência de Venda Direta. Afirmativa para Talentos Negros (Pretos e pardos),Grupo Boticário,Remoto,https://grupoboticario.gupy.io/job/eyJqb2JJZCI6NjAxMDAyNiwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,...,...
21/11/2023,12:21,Analista Comercial - Closer,BrandMonitor,Remoto,https://brandmonitor.gupy.io/job/eyJqb2JJZCI6NjAwOTk4MCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,...,...
21/11/2023,11:39,Analista Contábil Júnior,b2finance,Remoto,https://b2finance.gupy.io/job/eyJqb2JJZCI6NjAwOTcxNywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,...,...
21/11/2023,12:21,Analista Comercial - Closer,BrandMonitor,Remoto,https://brandmonitor.gupy.io/job/eyJqb2JJZCI6NjAwOTk4MCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,...,...
21/11/2023,11:39,Analista Contábil Júnior,b2finance,Remoto,https://b2finance.gupy.io/job/eyJqb2JJZCI6NjAwOTcxNywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,...,...
21/11/2023,21:32,ANALISTA DE NOVOS NEGÓCIOS,GRUPO COMETA,Remoto,https://grupocometa.gupy.io/job/eyJqb2JJZCI6NjAxNzUxMSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,...,...
