Data,Vaga,Nome da Empresa,Tipo de Trabalho,Tipo de Vaga,URL,Cidade,Estado
25/06/2024,Cientista de Dados IA - Projeto Internacional,DB,Remoto,Efetiva,https://db.gupy.io/job/eyJqb2JJZCI6NzM2MjUwNywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,...,...
25/06/2024,PESSOA ANALISTA DE DADOS - RHA3243,Spread Tecnologia,Remoto,Efetiva,https://spread.gupy.io/job/eyJqb2JJZCI6NzM1NDIxMiwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,...,...
25/06/2024,PESSOA ANALISTA DE DADOS - RHA3243,Spread Tecnologia,Remoto,Efetiva,https://spread.gupy.io/job/eyJqb2JJZCI6NzM1NDIxMSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,...,...
25/06/2024,Data Analytics Engineer,will bank,Remoto,Efetiva,https://vemserwill.gupy.io/job/eyJqb2JJZCI6NzM2NjA0OCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,...,...
25/06/2024,Analista de Marketing de Produto,Even - Construtora e Incorporadora,Híbrido,Efetiva,https://sejaeven.gupy.io/job/eyJqb2JJZCI6NzMzMTcxOCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,São Paulo,São Paulo
25/06/2024,Engenheiro(a) de Dados (Azure e Power BI) - (Híbrido - Paranapanema/ SP),Viceri,Híbrido,Entidade legal,https://viceri-vagas.gupy.io/job/eyJqb2JJZCI6NzM1Njc1OCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Paranapanema,São Paulo
25/06/2024,Pessoa Desenvolvedora Frontend,TIVIT,Híbrido,Efetiva,https://tivit.gupy.io/job/eyJqb2JJZCI6NzM1Njg5Miwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Barueri,São Paulo
25/06/2024,Especialista de Devops (Finops),Omni ,Híbrido,Efetiva,https://vemseromni.gupy.io/job/eyJqb2JJZCI6NzM2Mjc2MSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,São Paulo,São Paulo
25/06/2024,ANALISTA DE OPERAÇÕES FINANCEIRAS I,Alvoar Lácteos,Presencial,Efetiva,https://alvoarlacteos.gupy.io/job/eyJqb2JJZCI6NzM2NjA0NSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Fortaleza,Ceará
25/06/2024,Analista de Contabilidade Jr - Uberlândia/MG,Tribanco,Presencial,Efetiva,https://tribanco.gupy.io/job/eyJqb2JJZCI6NzM2MDk1NSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Uberlândia,Minas Gerais
25/06/2024,Analista Controle da Qualidade I,Vagas Valgroup,Presencial,Efetiva,https://valgroup.gupy.io/job/eyJqb2JJZCI6NzMzOTkzMiwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Lorena,São Paulo
25/06/2024,Analista de Logística ,Grupo BAUMINAS,Presencial,Efetiva,https://grupobauminas.gupy.io/job/eyJqb2JJZCI6NzM0NzE2Miwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Nova Lima,Minas Gerais
25/06/2024,Analista de Dados e Processos Jr,BANCO DAYCOVAL,Presencial,Efetiva,https://bancodaycoval.gupy.io/job/eyJqb2JJZCI6NzM2MjUxMywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,São Paulo,São Paulo
